INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jepywf', '女', '0000000000', 'zy', '08012004', '04-07-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fggttf', '男', '0000000018', 'jx', '08012006', '10-14-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Smkn', NULL, '0000000019', 'zy', '08012003', '12-22-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Oyvv', NULL, '0000000020', 'zd', '08012009', '02-28-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jmuafgox', '女', '0000000021', 'jd', '08012001', '05-27-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lugye', '男', '0000000022', 'zy', '08012015', '03-26-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Xbsugash', '女', '0000000023', 'jd', '08012011', '10-16-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Uflqf', '男', '0000000024', 'yh', '08012015', '07-21-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Mdwvhhcu', '女', '0000000025', 'yh', '08012009', '02-23-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dmwnvko', '女', '0000000026', 'yh', '08012005', '03-18-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wscphh', '男', '0000000027', 'js', '08012003', '10-02-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Yimtreqk', '男', '0000000028', 'zy', '08012015', '07-20-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Mlpzj', '女', '0000000029', 'jx', '08012022', '09-14-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Sfnwihrx', NULL, '0000000030', 'jx', '08012004', '07-02-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Uxnyuzos', '男', '0000000031', 'zd', '08012017', '06-16-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Qbzc', '男', '0000000032', 'zd', '08012022', '05-16-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ymdavip', '女', '0000000033', 'zy', '08012019', '10-14-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jmvvalx', '男', '0000000034', 'js', '08012016', '12-07-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Kohsbxx', '男', '0000000035', 'zd', '08012018', '03-17-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rgdhe', '女', '0000000036', 'jd', '08012010', '04-08-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Sjxrbfdi', '女', '0000000037', 'jd', '08012013', '11-22-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Frvyuw', '女', '0000000038', 'zy', '08012023', '09-19-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bdztcsj', '男', '0000000039', 'zy', '08012004', '03-13-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Qavppm', '女', '0000000040', 'gl', '08012015', '07-23-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Nwzski', '女', '0000000041', 'zy', '08012015', '02-17-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ntwml', NULL, '0000000042', 'zd', '08012023', '03-11-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Kafhl', '男', '0000000043', 'js', '08012014', '04-02-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ozwyhp', '女', '0000000044', 'zd', '08012002', '09-25-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Igqn', '男', '0000000045', 'jx', '08012020', '09-21-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ohfouhk', '男', '0000000046', 'gl', '08012001', '01-25-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Puszn', '女', '0000000047', 'gl', '08012017', '07-15-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Heuvfg', '男', '0000000048', 'js', '08012023', '01-18-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lwlfuljd', NULL, '0000000049', 'jx', '08012005', '05-08-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fekrf', NULL, '0000000050', 'js', '08012003', '03-29-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vano', '男', '0000000051', 'js', '08012022', '01-13-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gfesvg', '男', '0000000052', 'gl', '08012015', '09-16-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Tibijj', '男', '0000000053', 'gl', '08012017', '04-11-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zhpsvquw', '男', '0000000054', 'jx', '08012020', '10-20-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Yzvbg', '男', '0000000055', 'jd', '08012022', '03-19-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lxax', '男', '0000000056', 'zd', '08012023', '03-20-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Afqaoaw', '男', '0000000057', 'zy', '08012023', '09-14-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jmowp', '女', '0000000058', 'yh', '08012013', '01-29-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dvtpf', '女', '0000000059', 'jd', '08012003', '07-13-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ltqnncc', '男', '0000000060', 'gl', '08012013', '12-19-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Okpptd', '女', '0000000061', 'jx', '08012020', '06-05-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Kncv', '女', '0000000062', 'jd', '08012007', '09-24-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Akqmdck', '女', '0000000063', 'jd', '08012018', '11-09-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Aivu', '男', '0000000064', 'js', '08012022', '07-19-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fpihyf', '男', '0000000065', 'jx', '08012001', '07-18-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Culymern', '男', '0000000066', 'jd', '08012009', '06-23-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Sihdlvrt', '女', '0000000067', 'jx', '08012001', '02-21-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fpaihyx', '男', '0000000068', 'jx', '08012000', '05-26-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Igey', '男', '0000000069', 'yh', '08012018', '12-01-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Namqcdhy', '男', '0000000070', 'yh', '08012017', '08-06-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Oqppofj', '男', '0000000071', 'gl', '08012014', '08-17-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Xvomr', NULL, '0000000072', 'zy', '08012017', '11-18-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Adbow', '男', '0000000073', 'js', '08012017', '01-09-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vvrxmkyl', '男', '0000000074', 'zd', '08012021', '04-26-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rvxbjbg', '男', '0000000075', 'zd', '08012013', '11-18-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Qsvagygp', '女', '0000000076', 'gl', '08012011', '01-11-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Twraugm', '女', '0000000077', 'zy', '08012020', '10-04-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Cquifc', '男', '0000000078', 'zd', '08012021', '03-30-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wwibawm', '男', '0000000079', 'jd', '08012016', '09-11-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gmouywux', '女', '0000000080', 'zd', '08012020', '03-26-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ywevapct', '女', '0000000081', 'jd', '08012004', '11-22-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Oypun', '男', '0000000082', 'jx', '08012019', '08-05-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lcurx', '女', '0000000083', 'zd', '08012023', '04-03-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Osfdck', '女', '0000000084', 'jx', '08012018', '07-14-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ialrx', NULL, '0000000085', 'yh', '08012003', '11-01-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hfdt', '女', '0000000086', 'zd', '08012023', '08-10-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vdnz', '男', '0000000087', 'gl', '08012011', '08-09-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ooun', '男', '0000000088', 'yh', '08012018', '04-19-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wwurbfd', '男', '0000000089', 'jd', '08012007', '11-21-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hkgcbyxx', '女', '0000000090', 'jx', '08012015', '04-18-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lrcqra', '女', '0000000091', 'jx', '08012021', '02-25-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Resolqw', '女', '0000000092', 'gl', '08012013', '07-11-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zwfisfzt', '男', '0000000093', 'js', '08012010', '08-09-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Cpepoa', '女', '0000000094', 'jd', '08012018', '10-11-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bwvlw', '男', '0000000095', 'yh', '08012019', '08-17-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Tnfl', '女', '0000000096', 'gl', '08012003', '03-10-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Glnyw', '男', '0000000097', 'gl', '08012010', '10-31-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dopmuca', '男', '0000000098', 'jd', '08012005', '08-20-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Aisqg', '女', '0000000099', 'gl', '08012010', '10-24-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gijgi', '女', '0000000100', 'js', '08012012', '09-29-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dvcmygai', '女', '0000000101', 'jx', '08012005', '02-13-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ixqgqgi', '女', '0000000102', 'zd', '08012012', '10-21-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Etnmk', '女', '0000000103', 'jd', '08012002', '03-07-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wycjmiy', '女', '0000000104', 'gl', '08012013', '04-08-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Qqrjhl', '女', '0000000105', 'zd', '08012005', '03-31-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dioiizc', '女', '0000000106', 'jd', '08012003', '09-13-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ewyxgtd', '男', '0000000107', 'js', '08012015', '02-19-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Pqbjq', NULL, '0000000108', 'gl', '08012003', '10-26-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ptfvfa', '男', '0000000109', 'zd', '08012009', '08-10-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Pzud', '女', '0000000110', 'jd', '08012010', '01-25-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Uyts', '男', '0000000111', 'zy', '08012016', '06-17-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ovqqvt', '女', '0000000112', 'jd', '08012015', '08-14-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rdot', '男', '0000000113', 'jx', '08012023', '07-04-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Uznsid', '男', '0000000114', 'gl', '08012003', '09-23-1980');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Emgmdg', '男', '0000000115', 'zd', '08012007', '11-07-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ljuvhpc', NULL, '0000000116', 'zy', '08012023', '10-13-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Frnsgc', '男', '0000000117', 'zy', '08012022', '10-14-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rpqpve', '女', '0000000118', 'jx', '08012009', '09-03-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Xqmcorm', '女', '0000000119', 'jd', '08012021', '01-21-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Sqeuxt', '男', '0000000120', 'jx', '08012020', '05-28-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Orqnxtn', '男', '0000000121', 'zy', '08012017', '08-06-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Yxoodp', '女', '0000000122', 'jd', '08012005', '02-21-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Udanhlw', '男', '0000000123', 'jx', '08012000', '03-11-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Eziimu', '女', '0000000124', 'jd', '08012010', '05-11-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fuwwdh', '女', '0000000125', 'jx', '08012013', '05-20-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Pumxhwra', '女', '0000000126', 'zy', '08012018', '08-07-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wlxbwc', '女', '0000000127', 'jx', '08012001', '01-01-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jsmjzagh', '女', '0000000128', 'zd', '08012009', '02-08-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zfwentps', '男', '0000000129', 'js', '08012013', '05-19-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Cbycjg', '女', '0000000130', 'zd', '08012002', '08-28-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Orskakmy', '女', '0000000131', 'js', '08012018', '07-23-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vyih', '男', '0000000132', 'jx', '08012016', '01-07-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Irjitqo', '女', '0000000133', 'yh', '08012007', '06-10-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rpiyweb', '男', '0000000134', 'zd', '08012007', '12-10-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ocjlx', '男', '0000000135', 'gl', '08012013', '07-14-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Amzbawr', '女', '0000000136', 'zd', '08012016', '08-09-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hgsm', '男', '0000000137', 'js', '08012016', '09-01-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Eimdh', '男', '0000000138', 'zy', '08012022', '08-24-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hupwc', '女', '0000000139', 'js', '08012003', '03-13-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zenpifbs', '女', '0000000140', 'zd', '08012022', '01-31-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ngjecs', '女', '0000000141', 'yh', '08012008', '02-09-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Viyqmwr', '女', '0000000142', 'zd', '08012000', '11-09-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vwkdy', '女', '0000000143', 'zd', '08012007', '10-23-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fosnwkd', '女', '0000000144', 'jx', '08012001', '03-29-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bjfbcr', '男', '0000000145', 'zy', '08012017', '01-16-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Psgxzxcv', '男', '0000000146', 'gl', '08012006', '05-18-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gwjcgw', '男', '0000000147', 'jx', '08012016', '12-28-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Mygviqs', '男', '0000000148', 'jx', '08012009', '04-05-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ktrxi', '女', '0000000149', 'zy', '08012023', '04-08-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Nxmy', '男', '0000000150', 'jx', '08012014', '06-19-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Uvigg', '男', '0000000151', 'jd', '08012001', '06-24-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rbhlpad', '女', '0000000152', 'gl', '08012008', '04-01-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Banqnbsm', '男', '0000000153', 'jx', '08012008', '08-19-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wqffihz', '男', '0000000154', 'js', '08012002', '05-18-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Edponyfe', '女', '0000000155', 'js', '08012008', '04-21-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fljrnot', '女', '0000000156', 'zy', '08012003', '05-29-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Npsr', '女', '0000000157', 'zd', '08012006', '08-06-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ydyua', '男', '0000000158', 'zd', '08012000', '10-14-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jtzmjsc', '男', '0000000159', 'js', '08012001', '03-18-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Nvmvo', '男', '0000000160', 'js', '08012008', '01-01-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Sbhjpq', '女', '0000000161', 'gl', '08012022', '04-22-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Htxd', '女', '0000000162', 'jx', '08012000', '07-17-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ddwhgro', '男', '0000000163', 'gl', '08012000', '08-16-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Towd', '女', '0000000164', 'yh', '08012005', '08-29-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Xeiezaex', '女', '0000000165', 'yh', '08012014', '05-06-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Urqql', '女', '0000000166', 'gl', '08012006', '04-30-1980');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Elcvc', '女', '0000000167', 'yh', '08012014', '04-05-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hszozek', '女', '0000000168', 'zd', '08012008', '06-28-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Upmmtamo', '女', '0000000169', 'zd', '08012012', '12-01-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Mxvmqzv', '女', '0000000170', 'zy', '08012009', '05-16-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Mvzwb', '男', '0000000171', 'jd', '08012014', '07-03-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Oxzblohq', '男', '0000000172', 'yh', '08012015', '07-12-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ucyemvqz', '男', '0000000173', 'jd', '08012017', '01-18-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jftp', '女', '0000000174', 'jd', '08012017', '09-30-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bhgthw', '男', '0000000175', 'yh', '08012004', '12-06-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Doowvky', '女', '0000000176', 'gl', '08012018', '02-18-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bnaat', '男', '0000000177', 'jx', '08012011', '10-31-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Karbveg', '女', '0000000178', 'js', '08012003', '08-26-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Mzydashz', '男', '0000000179', 'jx', '08012012', '08-19-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hjfq', '女', '0000000180', 'zd', '08012014', '04-02-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bghvv', '男', '0000000181', 'jx', '08012015', '04-11-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Pnyno', '女', '0000000182', 'zy', '08012007', '06-11-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Yxqpo', '男', '0000000183', 'jd', '08012022', '06-02-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Iopckiw', '女', '0000000184', 'jx', '08012019', '08-25-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hqromj', '男', '0000000185', 'js', '08012015', '08-28-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bmjewu', '男', '0000000186', 'js', '08012015', '03-08-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zuqg', '男', '0000000187', 'jd', '08012005', '09-11-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Pzgtn', '女', '0000000188', 'jd', '08012004', '10-30-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zbako', '男', '0000000189', 'zd', '08012014', '07-26-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jsvyb', '女', '0000000190', 'zy', '08012005', '09-17-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ihkj', '女', '0000000191', 'jx', '08012003', '12-25-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lonrm', '女', '0000000192', 'js', '08012009', '05-15-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Qjrzs', '女', '0000000193', 'yh', '08012018', '09-09-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Qexo', '女', '0000000194', 'gl', '08012001', '12-30-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gzbzdt', '男', '0000000195', 'jd', '08012010', '02-11-1987');
